Date,Positive,Negative,Neutral,Bullishness,MessageVolume,Agreement
2008-06-08,0.0674043033272027,0.3721238087117672,0.5604718919098377,-0.2038493210743609,3.948807495410268e-09,-0.14224318959724402
2008-06-09,0.07328368533402674,0.35841038286685944,0.5683059372007846,-0.19065993281152685,5.401670651727226e-09,-0.1336342867047875
2008-06-10,0.07843069763233257,0.3177955896655718,0.6037737168371677,-0.15991652455124794,4.1350720539894144e-09,-0.1132676637015233
2008-06-11,0.10763304519467047,0.27599516430869697,0.616371791921556,-0.11235947190523371,1.424923511501126e-09,-0.08090800666574927
2008-06-12,0.11375885347276918,0.2804814737588167,0.6057596757113933,-0.11126305294001378,2.942979189345802e-09,-0.08014935068970264
2008-06-13,0.10774094671010963,0.3000720267742872,0.5921870274096727,-0.12839682278872847,8.940694847137111e-10,-0.09193913744870419
2008-06-14,0.11459345293364347,0.3108089550212025,0.574597592140947,-0.13099734333408938,9.579292913993439e-11,-0.09371637185733084
2008-06-15,0.12390579538153744,0.2843551148208124,0.5917390885736261,-0.10706837864430956,-1.2240239940228213e-09,-0.07724153263586553
2008-06-16,0.12555744598486587,0.2701906111410685,0.6042519400588103,-0.09649691937441761,-2.815255255105732e-09,-0.06987530374496531
2008-06-17,0.1425196750036307,0.27574158533875426,0.58173873765128,-0.08887305717998925,-2.0063349890496408e-09,-0.06452896184294166
2008-06-18,0.12737057284052875,0.2840626228334648,0.5885668038896152,-0.1045565142104722,-4.3639125655943784e-10,-0.07549618784136802
2008-06-19,0.129329423968281,0.2837598917952605,0.5869106811710766,-0.10304472787534867,-3.0653819529733865e-09,-0.07444426021100226
2008-06-20,0.14168074264590222,0.2648320770902292,0.5934871775763375,-0.08214705352524676,-2.6875310901762435e-09,-0.059788344328856935
2008-06-21,0.132604695691594,0.26493146451988386,0.6024638373511177,-0.0882751249652249,-2.4374043924030993e-09,-0.06410843862400784
2008-06-22,0.12247149975172104,0.29346981382263554,0.5840586864522525,-0.1141225756194527,2.6608937275442035e-11,-0.08212675508295453
2008-06-23,0.12690717647118221,0.30085328840251474,0.5722395372816494,-0.11609429115595526,2.155346343521819e-09,-0.08348793789152009
2008-06-24,0.1104247687065175,0.30387313126453325,0.5857020999278342,-0.1291447698862168,-1.0111511628508274e-10,-0.09245062248944524
2008-06-25,0.11463537622775344,0.30266476427870137,0.5826998575883253,-0.12551745634899855,-1.9052198725719115e-09,-0.08996760888073418
2008-06-26,0.11672767437462286,0.30187683191682607,0.5813954919789518,-0.12358984575814291,-1.7295992431024065e-09,-0.08864556117334943
2008-06-27,0.10796276223446634,0.3223366982755916,0.5697005383883205,-0.14315995993469752,-1.1016216833709608e-09,-0.10198635938802991
2008-06-28,0.1054951945106897,0.3082819184873785,0.5862228874223573,-0.13539761903903053,4.204254721256134e-10,-0.09671633702221838
2008-06-29,0.10467155019619626,0.30907145822686805,0.5862569901240724,-0.13647805120545142,-1.4528632751871497e-09,-0.09745155169949848
2008-06-30,0.11784496114190125,0.2965235107338854,0.5856315262083497,-0.11926018543358335,-1.9158636917516308e-09,-0.08566963204020217
2008-07-01,0.12489569109465386,0.28182313457663566,0.5932811726523297,-0.10471387317387536,-1.6763808133486716e-09,-0.07560561719668035
2008-07-02,0.12784286167472592,0.2849196582872952,0.5872374805488757,-0.10481371530412055,5.108968802263736e-10,-0.07567504225594046
2008-07-03,0.13027864473206646,0.2793758790620735,0.5903454785368272,-0.09948011540156956,2.330967194322809e-09,-0.07195953001149547
2008-07-04,0.13608304008309322,0.2589335484855941,0.6049834119315659,-0.08194616504472421,5.002531720946735e-10,-0.059646407223204134
2008-07-05,0.14541892270424528,0.25062468687870665,0.6039563875858274,-0.07016594912023612,-2.8312207063341255e-09,-0.05128766970431187
2008-07-06,0.1547160186192818,0.2361704595014452,0.6091135201816049,-0.0543163106240411,-1.6976681186364441e-09,-0.03993001736676782
2008-07-07,0.138058634762253,0.25718195766742735,0.60475940361619,-0.07945732659778286,-3.954129698159827e-09,-0.05788625256981361
2008-07-08,0.13917515905307865,0.2636883849703839,0.5971364536668572,-0.08305653077092398,-2.3096802275218713e-09,-0.060430679584899005
